Probe	logFC	A	pvalue	adjpvalue
kshv-miR-K12-10b	1.674091313	0.988583641	0.000116737	0.001229632
hsa-miR-583	1.667967909	1.529872144	0.00075102	0.003595792
hsa-miR-1300_v13.0	1.666928549	1.726354471	0.000422697	0.002385219
hsa-miR-623	1.653288901	1.17064068	0.000242316	0.00168186
hsa-miR-193b*	1.546161162	1.474021608	0.006974791	0.017492333
hsa-miR-513c	1.535945753	1.336906375	0.006187184	0.016120434
hsa-miR-186*	1.505671593	0.983846701	0.00024469	0.00168186
hsa-miR-135a*	1.488777367	3.461014924	0.001416819	0.005459935
hsa-miR-125b-1*	1.472125516	1.033063629	0.000291676	0.001881013
hsa-miR-769-3p	1.32283758	0.903835306	0.001360692	0.005374735
ebv-miR-BHRF1-1	1.235575712	0.907882766	0.005394593	0.014695616
ebv-miR-BART3*	1.215544252	0.843441767	0.004989837	0.013953881
hsa-miR-155	1.212374664	10.19886114	0.005442864	0.014700385
hsa-miR-150	1.185940835	10.06843978	0.00321516	0.010159907
hiv1-miR-H1	1.178810971	1.044476462	0.003451262	0.010730052
hsa-miR-199a-3p	1.12234704	1.382640085	0.023167574	0.045845749
hsa-miR-1288	1.08067887	2.755815372	0.015939427	0.034264346
hsa-miR-9*	1.038137424	1.326459331	0.003880765	0.011791557
hsa-miR-345	1.035266608	0.780085305	0.003696152	0.011339651
hsa-miR-634	0.991484657	0.749754312	0.003970269	0.011948619
ebv-miR-BART4	0.911331814	0.783144358	0.024610398	0.048005469
hsa-miR-342-3p	0.835613384	10.09998367	0.004641296	0.013455501
hsa-miR-373*	-0.630879551	1.244545979	0.022786774	0.045573548
hsa-miR-30d	-0.639204196	5.791008306	0.021560154	0.043700341
hsa-let-7b	-0.682467813	7.237274679	0.018502865	0.038721228
hsa-let-7a	-0.712888526	9.460596117	0.016191439	0.034570911
hsa-let-7f	-0.717283684	9.775248688	0.01574002	0.034067441
hsa-miR-29a	-0.728012809	8.894766478	0.008674643	0.020610431
hsa-miR-17	-0.811305305	8.907615341	0.009509897	0.022426324
hsa-miR-1274b	-0.884533764	8.617770686	0.005153942	0.014286366
hsa-miR-26b	-0.886346727	7.624600039	0.019426122	0.040385884
hsa-miR-602	-0.946431798	2.125993469	0.011952067	0.026786192
